Title,Sales,Series,Platform(s),Initial release date,Developer(s)[b],Publisher(s)[b],Ref.
Minecraft,300000000,Minecraft,Multi-platform,"November 18, 2011[c]",Mojang Studios,Mojang Studios / Xbox Game Studios,[3][4]
Grand Theft Auto V,210000000,Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games,[5]
Wii Sports,82900000,Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo,[6]
Mario Kart 8 / Deluxe,75810000,Mario Kart,Wii U / Switch,"May 29, 2014",Nintendo EAD / Nintendo EPD (Deluxe),Nintendo,[d]
PUBG: Battlegrounds,75000000,PUBG Universe,Multi-platform,"December 20, 2017",PUBG Studios,Krafton,[9]
Red Dead Redemption 2,70000000,Red Dead,Multi-platform,"October 26, 2018",Rockstar Games,Rockstar Games,[10]
Terraria,60700000,,Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games,[11]
Super Mario Bros.,58000000,Super Mario,Multi-platform,"September 13, 1985",Nintendo R&D4,Nintendo,[e]
Human: Fall Flat,55000000,,Multi-platform,"July 22, 2016",No Brakes Games,Curve Digital,[15]
Overwatch,50000000,Overwatch,Multi-platform,"May 24, 2016",Blizzard Entertainment,Blizzard Entertainment,[16]
The Witcher 3: Wild Hunt,50000000,The Witcher,Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt,[17]
Pokémon Red / Green / Blue / Yellow,47520000,Pokémon,Multi-platform,"February 27, 1996",Game Freak,Nintendo,[f]
Animal Crossing: New Horizons,47440000,Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo,[8]
Wii Fit / Plus,43800000,Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo,[g]
Call of Duty: Black Ops III,43000000,Call of Duty,Multi-platform,"November 6, 2015",Treyarch,Activision,[21]
Stardew Valley,41000000,,Multi-platform,"February 26, 2016",ConcernedApe,Chucklefish / ConcernedApe,[22]
Call of Duty: Modern Warfare,41000000,Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision,[21]
The Elder Scrolls V: Skyrim,40000000,The Elder Scrolls,Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks,[23]
Mario Kart Wii,37380000,Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo,[6]
Super Smash Bros. Ultimate,35880000,Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo,[8]
Tetris (Game Boy),35000000,Tetris,Game Boy,"June 14, 1989",Nintendo R&D1,Nintendo,[24]
The Legend of Zelda: Breath of the Wild,34320000,The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo,[h]
Wii Sports Resort,33140000,Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo,[6]
Call of Duty: Black Ops II,31000000,Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision,[26]
New Super Mario Bros.,30800000,Super Mario,Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo,[27]
Call of Duty: Black Ops,30720000,Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision,[26]
Call of Duty: Modern Warfare 3,30710000,Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision,[26]
New Super Mario Bros. Wii,30320000,Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo,[6]
Call of Duty: Black Ops Cold War,30000000,Call of Duty,Multi-platform,"November 13, 2020",Treyarch / Raven Software,Activision,[21]
Cyberpunk 2077,30000000,Cyberpunk,Multi-platform,"December 10, 2020",CD Projekt Red,CD Projekt,[28]
Diablo III,30000000,Diablo,Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment,[29]
Hogwarts Legacy,30000000,Wizarding World,Multi-platform,"February 10, 2023",Avalanche Software,Warner Bros. Games,[30]
Pokémon Gold / Silver / Crystal,29490000,Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo,[i]
Super Mario Odyssey,29040000,Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo,[8]
Call of Duty: Ghosts,28980000,Call of Duty,Multi-platform,"November 5, 2013",Infinity Ward,Activision,[26]
Elden Ring,28600000,Elden Ring,Multi-platform,"February 25, 2022",FromSoftware,Bandai Namco,[32]
Duck Hunt,28300000,,Famicom / NES,"April 21, 1984",Nintendo R&D1,Nintendo,[33]
Monster Hunter: World,28100000,Monster Hunter,Multi-platform,"January 26, 2018",Capcom,Capcom,[34]
Wii Play,28020000,Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo,[6]
The Walking Dead,28000000,The Walking Dead,Multi-platform,"April 24, 2012",Telltale Games,Telltale Games,[35]
Borderlands 2,28000000,Borderlands,Multi-platform,"September 18, 2012",Gearbox Software,2K Games,[36]
Grand Theft Auto: San Andreas,27500000,Grand Theft Auto,Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games,[37]
New Super Mario Bros. U / Luigi U / Deluxe,26950000,Super Mario,Wii U / Switch,"November 18, 2012",Nintendo EAD,Nintendo,[j]
Super Mario World,26662500,Super Mario,Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo,[k]
Pokémon Sword / Shield,26600000,Pokémon,Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company,[8]
FIFA 18,26400000,FIFA,Multi-platform,"September 29, 2017",EA Vancouver,EA Sports,[l]
Pokémon Scarlet / Violet,26380000,Pokémon,Nintendo Switch,"November 18, 2022",Game Freak,Nintendo / The Pokémon Company,[8]
Garry's Mod,25560290,,PC,"November 29, 2006",Facepunch Studios,Valve,[42]
Pokémon Sun / Moon / Ultra Sun / Ultra Moon,25560000,Pokémon,Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company,[m]
Call of Duty: Modern Warfare 2,25020000,Call of Duty,Multi-platform,"November 10, 2009",Infinity Ward,Activision,[26]
